iter	RMSE
0	16.83228237
1	16.37940449
2	15.99465618
3	15.66957895
4	15.34861984
5	15.05349589
6	14.78231588
7	14.50678501
8	14.26810345
9	14.09157934
10	13.90791487
11	13.71403547
12	13.50745887
13	13.32388109
14	13.17262633
15	13.03411479
16	12.88561431
17	12.7719965
18	12.6930985
19	12.61095771
20	12.52900398
21	12.42919118
22	12.3498701
23	12.24472741
24	12.17596508
25	12.09937045
26	12.07134958
27	11.99806302
28	11.93741349
29	11.88577858
30	11.82546756
31	11.77615939
32	11.73034119
33	11.67958527
34	11.62947766
35	11.59251872
36	11.54513256
37	11.51075698
38	11.48236837
39	11.44618104
40	11.40595684
41	11.37942997
42	11.36183527
43	11.34951518
44	11.31199797
45	11.28974081
46	11.252855
47	11.24022906
48	11.21482487
49	11.2026254
50	11.19262977
51	11.18129108
52	11.16854447
53	11.16339948
54	11.13755509
55	11.1287738
56	11.10680242
57	11.09986026
58	11.07227742
59	11.06298647
60	11.04667292
61	11.02198442
62	11.00613736
63	10.99065969
64	10.96666045
65	10.9505258
66	10.94037628
67	10.93428209
68	10.90716395
69	10.89148285
70	10.86910737
71	10.85998556
72	10.83750313
73	10.82538138
74	10.81635016
75	10.8065132
76	10.80111629
77	10.78377078
78	10.76953886
79	10.75513151
80	10.75390271
81	10.74090334
82	10.72753406
83	10.70958388
84	10.7002644
85	10.68648666
86	10.67601565
87	10.66948926
88	10.66206758
89	10.65350375
90	10.6322725
91	10.61887416
92	10.60347592
93	10.59746064
94	10.57764218
95	10.57049398
96	10.55398421
97	10.54220638
98	10.5357772
99	10.52783216
100	10.51574782
101	10.5058578
102	10.49279743
103	10.4720726
104	10.46461134
105	10.45056821
106	10.43423768
107	10.42475479
108	10.41950923
109	10.4153082
110	10.41140712
111	10.40736512
112	10.40470312
113	10.40130224
114	10.39938571
115	10.39040963
116	10.37705399
117	10.36793817
118	10.35638811
119	10.34589308
120	10.34068318
121	10.33310149
122	10.31390349
123	10.3040701
124	10.28850987
125	10.27239559
126	10.26370561
127	10.25258698
128	10.23660508
129	10.23253281
130	10.23120652
131	10.22290938
132	10.21940824
133	10.21296243
134	10.20642068
135	10.19815752
136	10.18871196
137	10.18536869
138	10.17898009
139	10.16416208
140	10.14516873
141	10.13760985
142	10.12793252
143	10.11708063
144	10.09337929
145	10.07253589
146	10.06878249
147	10.05770037
148	10.05356075
149	10.04095701
150	10.03641049
151	10.02930845
152	10.02072757
153	10.0069275
154	9.994969162
155	9.987751543
156	9.980601471
157	9.970235428
158	9.953140544
159	9.943878385
160	9.93490356
161	9.9178642
162	9.903547889
163	9.899218513
164	9.890126934
165	9.881779221
166	9.879773568
167	9.862894559
168	9.833611786
169	9.827837405
170	9.815252534
171	9.799961709
172	9.785813228
173	9.777670496
174	9.772085588
175	9.767475638
176	9.749015049
177	9.739481423
178	9.731101874
179	9.717222904
180	9.701612522
181	9.695542477
182	9.688610767
183	9.683895268
184	9.679826771
185	9.666276921
186	9.661771524
187	9.656361849
188	9.651358331
189	9.64064708
190	9.636197512
191	9.62515033
192	9.621224525
193	9.61698971
194	9.601331771
195	9.590620719
196	9.576657985
197	9.562604781
198	9.551659953
199	9.547202768
200	9.529651297
201	9.521471052
202	9.513144373
203	9.500891705
204	9.496528127
205	9.492812134
206	9.487992983
207	9.484377243
208	9.478250198
209	9.472358541
210	9.464889121
211	9.463265444
212	9.458836035
213	9.449983416
214	9.440362293
215	9.435536693
216	9.42258607
217	9.413036294
218	9.40455466
219	9.399389903
220	9.392740805
221	9.388328276
222	9.384178485
223	9.381072386
224	9.379891546
225	9.371761661
226	9.361535068
227	9.360523967
228	9.350085469
229	9.342357716
230	9.339273158
231	9.336121254
232	9.325984515
233	9.308941367
234	9.305301943
235	9.296936338
236	9.284988216
237	9.284040459
238	9.283174917
239	9.282933421
240	9.27520292
241	9.273508579
242	9.265261503
243	9.260520071
244	9.255385026
245	9.247918482
246	9.242078017
247	9.235856657
248	9.228359526
249	9.21917565
250	9.214192735
251	9.209869577
252	9.206642619
253	9.198785075
254	9.184342655
255	9.176336215
256	9.166600382
257	9.165650196
258	9.161592946
259	9.157193359
260	9.136452795
261	9.135214372
262	9.12785576
263	9.127588062
264	9.115752273
265	9.111309016
266	9.108630585
267	9.098486286
268	9.088313816
269	9.080418688
270	9.074949743
271	9.068737008
272	9.061911079
273	9.04618947
274	9.044108534
275	9.032044102
276	9.027235187
277	9.014793068
278	9.014065959
279	9.009179518
280	8.994740582
281	8.990355828
282	8.988414667
283	8.985449863
284	8.981438744
285	8.974269586
286	8.970826671
287	8.957750094
288	8.956106954
289	8.950287613
290	8.939093306
291	8.92465556
292	8.915178001
293	8.913017652
294	8.908172881
295	8.899368326
296	8.898636647
297	8.895857796
298	8.882419075
299	8.864719536
300	8.858309108
301	8.854624607
302	8.848757068
303	8.842188358
304	8.832724842
305	8.828667547
306	8.82816955
307	8.819740826
308	8.816778471
309	8.807988259
310	8.802288376
311	8.794678517
312	8.794173422
313	8.793687164
314	8.787826042
315	8.774581302
316	8.773175892
317	8.772707226
318	8.770078589
319	8.767308507
320	8.757752476
321	8.751665109
322	8.749550977
323	8.738418119
324	8.734276673
325	8.730714855
326	8.719679085
327	8.712430979
328	8.69990673
329	8.687582381
330	8.679767892
331	8.678209283
332	8.669590483
333	8.662171485
334	8.654908206
335	8.648038675
336	8.639913246
337	8.634478611
338	8.631130471
339	8.623458205
340	8.622301921
341	8.615966014
342	8.604224724
343	8.596484065
344	8.594278907
345	8.583024069
346	8.576870255
347	8.565600639
348	8.558456752
349	8.549024386
350	8.541336605
351	8.534697343
352	8.527194069
353	8.52448535
354	8.521504723
355	8.518268499
356	8.513983491
357	8.510126432
358	8.50946708
359	8.507191213
360	8.500056973
361	8.49860021
362	8.494337959
363	8.489941695
364	8.484501348
365	8.47851327
366	8.470683881
367	8.467832956
368	8.467465864
369	8.462815626
370	8.462423936
371	8.453234161
372	8.446194853
373	8.442571731
374	8.435596358
375	8.433609714
376	8.425583409
377	8.414664906
378	8.404157107
379	8.397145063
380	8.393355471
381	8.385261818
382	8.382344545
383	8.380731295
384	8.371678165
385	8.365683843
386	8.365399983
387	8.360815161
388	8.360231266
389	8.352898598
390	8.352435304
391	8.350336646
392	8.34265263
393	8.335874037
394	8.323639336
395	8.319136875
396	8.310331959
397	8.301887875
398	8.297920296
399	8.292577691
400	8.291705693
401	8.283526699
402	8.274016668
403	8.27124572
404	8.268210576
405	8.262272615
406	8.249381646
407	8.241275272
408	8.235600226
409	8.23027701
410	8.223331952
411	8.218389411
412	8.208877238
413	8.198529018
414	8.195183017
415	8.193993508
416	8.188433855
417	8.188200979
418	8.185814369
419	8.175005705
420	8.173743127
421	8.167447577
422	8.167112576
423	8.164173124
424	8.162101575
425	8.154928421
426	8.144313427
427	8.139627263
428	8.130968684
429	8.121639506
430	8.112394625
431	8.105925708
432	8.1023028
433	8.090749739
434	8.087314241
435	8.084071848
436	8.081191429
437	8.07842546
438	8.068240016
439	8.065158319
440	8.057440868
441	8.055379457
442	8.052911753
443	8.042928881
444	8.042833699
445	8.039985417
446	8.037693067
447	8.031536716
448	8.025409382
449	8.015234908
450	8.013614935
