iter	MultiClass
116	0.467022199
117	0.4629054826
118	0.4599053467
119	0.4581260129
120	0.4562840574
121	0.4530690473
122	0.4513389399
123	0.4482306948
124	0.4445532819
125	0.4417349168
126	0.4397599082
127	0.4372515665
128	0.4359941465
129	0.4335983778
130	0.4322774225
131	0.4296117782
132	0.4272887865
133	0.4256309643
134	0.4234807978
135	0.4227280682
136	0.4200447825
137	0.4183089721
138	0.4157288649
139	0.4131085252
140	0.4108525638
141	0.4085645695
142	0.4061153168
143	0.4042840023
144	0.4024591862
145	0.4019773823
146	0.4002166965
147	0.3979908433
148	0.3955554216
149	0.3932557733
150	0.3908700849
151	0.389168181
152	0.386901
153	0.3849627907
154	0.3834532076
155	0.3814942139
156	0.379351493
157	0.3772599967
158	0.3757348091
159	0.3751518099
160	0.3735491124
161	0.3718670113
162	0.3711550161
163	0.3699862921
164	0.3680732609
165	0.3656987961
166	0.3640003352
167	0.3620561124
168	0.3607913092
169	0.359842856
170	0.3580696569
171	0.3578102236
172	0.356922775
173	0.3558808548
174	0.3543282248
175	0.3528209485
176	0.3509679613
177	0.3488225584
178	0.3472342628
179	0.3456111336
180	0.3435300195
181	0.3420591463
182	0.3404673987
183	0.3392175318
184	0.338547135
185	0.3380807563
186	0.3365957947
187	0.3353267387
188	0.3349574886
189	0.3342409406
190	0.3325833606
191	0.3312619506
192	0.3297427253
193	0.3280520004
194	0.3262537633
195	0.324941328
196	0.3244419562
197	0.322531911
198	0.320762423
199	0.3193230697
200	0.3180529617
201	0.3173540702
202	0.3160146835
203	0.3150054989
204	0.3142421203
205	0.3133642358
206	0.3118719874
207	0.3103913307
208	0.309436732
209	0.3085025621
210	0.307424823
211	0.3059732994
212	0.3043283094
213	0.303684294
214	0.3027085577
215	0.3013362958
216	0.3004983345
217	0.2999285989
218	0.2990681302
219	0.2981521483
220	0.2968598946
221	0.2958870614
222	0.2944241022
223	0.2932755452
224	0.2928439697
225	0.2916249235
226	0.2900714771
227	0.2889457855
228	0.2878298576
229	0.2867586769
230	0.2861105952
231	0.2852071252
232	0.2839521136
233	0.2835241716
234	0.2822126068
235	0.281611999
236	0.2810532186
237	0.280105876
238	0.2790604768
239	0.2786218233
240	0.2779518815
241	0.2775214974
242	0.2766882287
243	0.2756244897
244	0.2747239849
245	0.2739110784
246	0.2726958887
247	0.2721690076
248	0.2719737865
249	0.2715835388
250	0.2707687938
251	0.2701308522
252	0.2688171661
253	0.2681075036
254	0.2676042158
255	0.2665937956
256	0.265628571
257	0.2649391646
258	0.2647445976
259	0.2634590798
260	0.2630618603
261	0.2621307026
262	0.2611696733
263	0.2608362274
264	0.260082646
265	0.2591035071
266	0.2586995072
267	0.2579361869
268	0.256922026
269	0.2561304377
270	0.2553579815
271	0.2549102009
272	0.2545803499
273	0.2535805111
274	0.2531493221
275	0.2519424146
276	0.2510140261
277	0.2501656328
278	0.249381216
279	0.2490175475
280	0.2484285794
281	0.247723551
282	0.2469066217
283	0.246298643
284	0.2456003302
285	0.2445656534
286	0.2439230022
287	0.242892434
288	0.2417016637
289	0.241101982
290	0.239933433
291	0.2392391123
292	0.2383492171
293	0.2378352623
294	0.2369993015
295	0.2360583907
296	0.2350390163
297	0.2344802704
298	0.2340130146
299	0.233200628
300	0.2326516866
301	0.2322477044
302	0.2315264187
303	0.2307889202
304	0.2301554796
305	0.2294865023
306	0.2287926428
307	0.2282362739
308	0.2275037954
309	0.2268390856
310	0.2260594008
311	0.2256625388
312	0.2249338488
313	0.2244651346
314	0.2238254799
315	0.2231125655
316	0.222480871
317	0.221953929
318	0.2214746103
319	0.2205876877
320	0.2197162192
321	0.219088684
322	0.2188168545
323	0.218067238
324	0.2173205069
325	0.2160669829
326	0.2154630246
327	0.2152105593
328	0.2145828267
329	0.213857809
330	0.2132022413
331	0.2127350938
332	0.2119403597
333	0.2113012397
334	0.2106725132
335	0.2102956314
336	0.209750399
337	0.2090845147
338	0.2085953214
339	0.2080137841
340	0.2075267625
341	0.2067350157
342	0.2059296487
343	0.2053835363
344	0.2052287131
345	0.2049078738
346	0.2042445272
347	0.2037979679
348	0.2033176198
349	0.2027941335
350	0.2023872003
351	0.2017876537
352	0.2011990519
353	0.2004494563
354	0.2000450421
355	0.1995289828
356	0.1987401831
357	0.198328656
358	0.197725254
359	0.1969942678
360	0.1962673552
361	0.1956188726
362	0.1951844699
363	0.1943145263
364	0.1936222976
365	0.1930347781
366	0.1926831002
367	0.1919731423
368	0.1911957325
369	0.1908088958
370	0.1902059095
371	0.18996911
372	0.1894937045
373	0.1886784892
374	0.1882070848
375	0.1879753255
376	0.1876091841
377	0.187357496
378	0.1870944002
379	0.1865582452
380	0.1861565329
381	0.1855791257
382	0.1849235203
383	0.1843765262
384	0.18393422
385	0.1836032363
386	0.1832018004
387	0.1825706401
388	0.1822753093
389	0.1819811656
390	0.1817166779
391	0.1814074318
392	0.1808078924
393	0.1801507803
394	0.1795493843
395	0.1786251476
396	0.178128692
397	0.1776874375
398	0.1774836754
399	0.1766366016
400	0.1763632652
401	0.1758506295
402	0.1756190922
403	0.1754959141
404	0.1751648875
405	0.1746640528
406	0.1740717774
407	0.1733198693
408	0.1728644334
409	0.1725704893
410	0.1722652506
411	0.1714967918
412	0.1711154984
413	0.1707847842
414	0.1701525285
415	0.1698623478
416	0.1695902694
417	0.1688539165
418	0.1685044338
419	0.1681469739
420	0.1677742435
421	0.1672127908
422	0.1667995377
423	0.1660934573
424	0.1654514486
425	0.1647259976
426	0.1641970341
427	0.1637201345
428	0.1632882203
429	0.1628356696
430	0.162586155
431	0.1622322124
432	0.1619289956
433	0.161515979
434	0.1612976591
435	0.1609960492
436	0.1607764923
437	0.1604300101
438	0.1599191869
439	0.1594396968
440	0.1587855727
441	0.1583810665
442	0.158054291
443	0.1574529334
444	0.1570302471
445	0.1567799834
446	0.1564737543
447	0.1561534662
448	0.155849468
449	0.1550897548
450	0.1548992825
451	0.1546033293
452	0.1542266432
453	0.153984896
454	0.1535575387
455	0.1532348098
456	0.1527388057
457	0.1521943622
458	0.1518376416
459	0.1514855569
460	0.1512599541
461	0.1508783279
462	0.1504058065
463	0.1500203367
464	0.149415177
465	0.1488198592
466	0.1483243637
467	0.1479417139
468	0.1475757887
469	0.1473485991
470	0.1468607039
471	0.1464998659
472	0.1462633657
473	0.1459950468
474	0.1456141191
475	0.145140506
476	0.144602508
477	0.1441452428
478	0.143901509
479	0.1437066053
480	0.1430412912
481	0.1427459448
482	0.1424803833
483	0.1421608651
484	0.1419364973
485	0.141563633
486	0.1411504395
487	0.1409867142
488	0.1407045518
489	0.1403380476
490	0.1399921833
491	0.1393131611
492	0.1388820702
493	0.1385941121
494	0.1381483632
495	0.1377639592
496	0.1374197962
497	0.1370630435
498	0.1369072803
499	0.1366826119
500	0.1363205551
501	0.1357448135
502	0.1354525724
503	0.1351548436
504	0.1346077929
505	0.1343791512
506	0.1339757378
507	0.1337464317
508	0.1335835787
509	0.1333529431
510	0.1330434038
511	0.132765904
512	0.1326221626
513	0.1324595595
514	0.1321534468
515	0.1319354655
516	0.1318076608
517	0.1315840356
518	0.1313489226
519	0.1310089336
520	0.13067249
521	0.1302990001
522	0.1301592926
523	0.1297785841
524	0.1294851449
525	0.129182036
526	0.1287043378
527	0.1282108402
528	0.12786702
529	0.1276750536
530	0.1272003299
531	0.1267490204
532	0.1265662927
533	0.1263435892
534	0.1259817436
535	0.1255837031
536	0.1252975644
537	0.1249575153
538	0.1246798839
539	0.1245056701
540	0.1238931658
541	0.1235402386
542	0.1230935372
543	0.1228259201
544	0.122602313
545	0.1222143785
546	0.1219608724
547	0.1217365382
548	0.121539954
549	0.1212663557
550	0.121127673
551	0.1209394722
552	0.1207044488
553	0.1203760902
554	0.1200841196
555	0.1198647321
556	0.1197723915
557	0.119554975
558	0.1192990168
559	0.119079087
560	0.1189471023
561	0.1187267416
562	0.1186154641
563	0.1182691016
564	0.118077215
565	0.1178985795
566	0.1177082117
567	0.1174097919
568	0.1171473477
569	0.1170682551
570	0.1168030486
571	0.1165457051
572	0.1164184747
573	0.1163056353
574	0.1161837224
575	0.1160043635
576	0.1158365141
577	0.1156823749
578	0.1154357299
579	0.1149737732
580	0.1147910052
581	0.1145618531
582	0.1144014642
583	0.1141730082
584	0.1140639364
585	0.1138646892
586	0.1136410456
587	0.1133501015
588	0.1128776023
589	0.1127170917
590	0.1125209245
591	0.1123015397
592	0.1120373194
593	0.1119032426
594	0.11180855
595	0.1114853145
596	0.1112538319
597	0.1110124349
598	0.1108313382
599	0.1105945266
600	0.1103381266
601	0.1100054824
602	0.1096676962
603	0.109284687
604	0.1090185875
605	0.1087922828
606	0.1086210695
607	0.1082463361
608	0.1079125845
609	0.1075001144
610	0.1074243759
611	0.1070945136
612	0.106904303
613	0.1066187136
614	0.1063434
615	0.1061740856
616	0.1058745999
617	0.1055425683
618	0.1053109862
619	0.1050049194
620	0.1048855415
621	0.1046598456
622	0.1043598552
623	0.1040936353
624	0.1040597674
625	0.1038415236
626	0.1034777618
627	0.1031017444
628	0.1030286315
629	0.102773951
630	0.1026383926
631	0.1023965478
632	0.1021379531
633	0.1017491007
634	0.1016584504
635	0.1014573204
636	0.1011907236
637	0.1009615402
638	0.1008305994
639	0.1006271702
640	0.1004279058
641	0.1001983922
642	0.09993402201
643	0.09977120461
644	0.0995344168
645	0.09917356942
646	0.09891276116
647	0.09864468954
648	0.0985756748
649	0.09843616807
650	0.09830074003
651	0.09805636306
652	0.09787186754
653	0.09771598009
654	0.09761149299
655	0.09739082826
656	0.09712035583
657	0.09696945865
658	0.09671487245
659	0.09662488773
660	0.09638444296
661	0.09617170063
662	0.09593025276
663	0.095635821
664	0.09544291946
665	0.09525459467
666	0.09517761834
667	0.0949326123
668	0.09464902245
669	0.09448845416
670	0.09429985022
671	0.09415624365
672	0.09391043981
673	0.09372921869
674	0.09364011365
675	0.09338986935
676	0.09325641535
677	0.09319213475
678	0.09309218433
679	0.09277827785
680	0.0925388423
681	0.09230596266
682	0.09215722179
683	0.09202182921
684	0.09178510449
685	0.09168280041
686	0.09153091947
687	0.09144470075
688	0.09126308452
689	0.09105949867
690	0.09096847517
691	0.09074336583
692	0.09064916293
693	0.09045966964
694	0.0902516925
695	0.09003859693
696	0.0899662796
697	0.08975119533
698	0.08955717701
699	0.08938689121
700	0.08908967625
701	0.08890333822
702	0.08872764964
