iter	MultiClassOneVsAll
489	0.5563590925
490	0.556339705
491	0.556339705
492	0.5562925983
493	0.5562925489
494	0.5562409449
495	0.5562409449
496	0.5561482067
497	0.5561239203
498	0.5561239202
499	0.5561177129
500	0.5560946614
501	0.5560894535
502	0.556089434
503	0.5560355591
504	0.5560355575
505	0.5560236813
506	0.5560073377
507	0.555924201
508	0.5559195438
509	0.5558688116
510	0.5558460517
511	0.5558460443
512	0.5558062835
513	0.5558047766
514	0.555787605
515	0.5557876025
516	0.5557779904
517	0.5557553243
518	0.5557553243
519	0.5557364714
520	0.5557192875
521	0.5556485174
522	0.5555759147
523	0.5555265889
524	0.5555151431
525	0.5555150161
526	0.5555141017
527	0.5554769236
528	0.5554760635
529	0.5553918212
530	0.5553634649
531	0.5552983264
532	0.5552983205
533	0.5552602301
534	0.5552437099
535	0.5552437063
536	0.5552082172
537	0.5551988723
538	0.5551871087
539	0.5551871074
540	0.555186734
541	0.5551867334
542	0.5551867328
543	0.5551853709
544	0.555130095
545	0.5551300702
546	0.5551279017
547	0.5551117854
548	0.5550815843
549	0.5550802275
550	0.5550802265
551	0.5550479502
552	0.5550020451
553	0.5550000412
554	0.55496375
555	0.554943669
556	0.5548644863
557	0.5548531096
558	0.5548175682
559	0.5548156382
560	0.5547661344
561	0.5547567404
562	0.5547246987
563	0.5547206726
564	0.5546398802
565	0.5546376822
566	0.5546376813
567	0.5546376439
568	0.5545507078
569	0.5544086527
570	0.5544086527
571	0.5543780986
572	0.5543686319
573	0.5543324722
574	0.554284014
575	0.5542801422
576	0.554229844
577	0.5542241859
578	0.5542176115
579	0.5541736356
580	0.5541658549
581	0.5541066052
582	0.5540741129
583	0.55404715
584	0.5539843251
585	0.55397307
586	0.5539729472
587	0.5539614479
588	0.5539614474
589	0.5539609783
590	0.5539175154
591	0.5539152416
592	0.5538934204
593	0.5538795889
594	0.5538667689
595	0.5538661312
596	0.5538355787
597	0.553835578
598	0.553814055
599	0.5538140546
600	0.5538137676
601	0.5537964316
602	0.5537763024
603	0.5537546833
604	0.5537428901
605	0.5537148241
606	0.5536912505
607	0.5536912498
608	0.553672882
609	0.5536206414
610	0.5535695608
611	0.5535625098
612	0.5535409321
613	0.5535246555
614	0.5534975164
615	0.553484134
616	0.5534737121
617	0.5534735674
618	0.5534551704
619	0.5534541737
620	0.5534537414
621	0.5534524055
622	0.553435934
623	0.5534359337
624	0.5534359335
625	0.5534035222
626	0.5533755433
627	0.5533710696
628	0.5533557456
629	0.5533089114
630	0.5533089114
631	0.5532642931
632	0.5531848752
633	0.5531839966
634	0.5531342109
635	0.5530789916
636	0.5530604267
637	0.5530596681
638	0.5529843937
639	0.5529839855
640	0.5529549219
641	0.5529548334
642	0.5529505448
643	0.5529186304
644	0.5529101739
645	0.5529101738
646	0.5529096774
647	0.5529096338
648	0.5529092957
649	0.5528672223
650	0.5528466031
651	0.5528243032
652	0.5527884051
653	0.5527715127
654	0.5527697486
655	0.5527686664
656	0.5527455687
657	0.5527410557
658	0.5527015688
659	0.5527015685
660	0.5526804883
661	0.5526804881
662	0.5526320309
663	0.5526320307
664	0.5526313683
665	0.5526175754
666	0.5525694972
667	0.5525694946
668	0.5525484867
669	0.5525343078
670	0.5525341826
671	0.5525057128
672	0.5524894776
673	0.5524894748
674	0.5524593541
675	0.5523843749
676	0.552384369
677	0.5523566553
678	0.5523198261
679	0.5523109198
680	0.5522795948
681	0.5522727456
682	0.5522727442
683	0.5522727391
684	0.5522626122
685	0.5522468086
686	0.5521463854
687	0.552113599
688	0.5521064564
689	0.5521058261
690	0.5520485483
691	0.5520297262
692	0.551988808
693	0.551988462
694	0.5519883926
695	0.5519837217
696	0.5519837216
697	0.5519837215
698	0.5519832475
699	0.5519359232
700	0.5519207508
701	0.5519002426
702	0.5518719586
703	0.5518221672
704	0.5518103521
705	0.5517672768
706	0.5517335187
707	0.5517141984
708	0.5516830908
709	0.5516804837
710	0.5516804578
711	0.5516769808
712	0.5516274113
713	0.551627411
714	0.5516055206
715	0.5516055202
716	0.5516014987
717	0.5515663754
718	0.551552505
719	0.5515395643
720	0.551539564
721	0.5515395577
722	0.5515280976
723	0.5515152318
724	0.5515152316
725	0.5515001283
726	0.5514219669
727	0.5514219669
728	0.5514025722
729	0.551400317
730	0.5513954601
731	0.5513346568
732	0.551277764
733	0.5512716417
734	0.551264326
735	0.5512637904
736	0.5512637901
737	0.5512043853
738	0.5511900603
739	0.5511768017
740	0.5511463711
741	0.5511270158
742	0.5511270146
743	0.5511269252
744	0.551126521
745	0.5511150127
746	0.5511095084
747	0.5510820501
748	0.551070014
749	0.5510641031
750	0.551046385
751	0.551046361
752	0.5509812939
753	0.5509695899
754	0.5509472842
755	0.5509361284
756	0.5509008247
757	0.5508735846
758	0.5508490806
759	0.5508490791
760	0.5508483691
761	0.550838248
762	0.550831461
763	0.5508158976
764	0.5507912864
765	0.550791273
766	0.5507912721
767	0.5507912715
768	0.5507750215
769	0.5507528866
770	0.5507349814
771	0.5507230421
772	0.5507083345
773	0.5506579204
774	0.5506579198
775	0.5506307273
776	0.5506307259
777	0.550630725
778	0.550594874
779	0.5505919683
780	0.5505919664
781	0.5505795193
782	0.5505527448
783	0.550534573
784	0.5505345724
785	0.5505345719
786	0.5505297225
787	0.5505050484
788	0.5504662686
789	0.5504662678
790	0.5504662671
791	0.5504403614
792	0.5504237176
793	0.5504045285
794	0.550348549
795	0.5503480107
796	0.5503143774
797	0.550301416
798	0.5503013719
799	0.5502895694
800	0.5502715373
801	0.5502350051
802	0.5502163643
803	0.5501752342
804	0.5501741392
805	0.5501161472
806	0.5501055597
807	0.5500820418
808	0.5500541566
809	0.5500541564
810	0.5500180921
811	0.5500028798
812	0.5500007392
813	0.5499666628
814	0.5499492469
815	0.5499345593
816	0.5499124122
817	0.5498919367
818	0.5498897344
819	0.5498777638
820	0.5498777637
821	0.5498532168
822	0.5498357034
823	0.5498258672
824	0.5497994125
825	0.5497983254
826	0.549790797
827	0.5497064583
828	0.5497064583
829	0.5496495856
830	0.5496489854
831	0.5496428762
832	0.5496150045
833	0.5496086174
834	0.549604167
835	0.5496041661
836	0.5495917378
837	0.5495692093
838	0.549568132
839	0.5495600297
840	0.5494825193
841	0.5494803547
842	0.5494193461
843	0.5493897039
844	0.5492973609
845	0.5492973605
846	0.5492954951
847	0.5492520335
848	0.5492126214
849	0.5491719578
850	0.5491421033
851	0.5491077569
852	0.5490801692
853	0.5490312315
854	0.549006135
855	0.5490061332
856	0.5489795391
857	0.548979539
858	0.548928383
859	0.5488857319
860	0.5488576177
861	0.5488576174
862	0.5488506467
863	0.5488427464
864	0.5488315816
865	0.5488014259
866	0.5488014258
867	0.5487776853
868	0.5487708546
869	0.5487707544
870	0.5487684019
871	0.5487684016
872	0.5487315698
873	0.5487084668
874	0.5486832014
875	0.5486404397
876	0.5486119305
877	0.5485747764
878	0.5485486443
879	0.5485486438
880	0.5485486434
881	0.5485486431
882	0.5485056188
883	0.5484860671
884	0.5484424897
885	0.5484423753
886	0.5484309672
887	0.5484279613
888	0.5484076422
889	0.5483723063
890	0.5483723035
891	0.5483723013
892	0.5482835257
893	0.5482835226
894	0.5482483709
895	0.5482483685
896	0.5482269971
897	0.5481846854
898	0.5481846843
899	0.5481837728
900	0.5481466965
901	0.5481460483
902	0.5481280076
903	0.5481075949
904	0.5480735225
905	0.54804078
906	0.5480406739
907	0.5480072255
908	0.5479858975
909	0.5479504331
910	0.5479499946
911	0.5479380064
912	0.547933085
913	0.5479277717
914	0.5478458035
915	0.547809343
916	0.547768513
917	0.54773987
918	0.5477058586
919	0.5476819972
920	0.547652645
921	0.5476402901
922	0.5476008807
923	0.5475479444
924	0.54751027
925	0.5475102665
926	0.5474944433
927	0.5474627119
928	0.5474627111
929	0.5473929211
930	0.5473929211
931	0.547357954
932	0.547330863
933	0.5473005444
934	0.5472510845
935	0.5472400679
936	0.5471814487
937	0.5471572086
938	0.5471572083
939	0.5471558459
940	0.5471558459
941	0.5471558458
942	0.5471486538
943	0.547133521
944	0.5471330554
945	0.5471328641
946	0.5470983191
947	0.5470979594
948	0.5470494305
949	0.5470153795
950	0.5469993638
951	0.5469770931
952	0.5469496411
953	0.5469220155
954	0.5468823105
955	0.5468823099
956	0.546855541
957	0.546841539
958	0.5468415386
959	0.5467967662
960	0.546796766
961	0.5467480224
962	0.5467480192
963	0.5467392428
964	0.5467070482
965	0.546704413
966	0.5467043226
967	0.5467018082
968	0.5466997517
969	0.5466801979
970	0.5466800881
971	0.5466499384
972	0.546649508
973	0.5466495077
974	0.5466495075
975	0.5466495072
976	0.5466494611
977	0.5466188546
978	0.546606871
979	0.5465458249
980	0.546531314
981	0.5465215297
982	0.5464872698
983	0.5464824368
984	0.5464791088
985	0.5464504588
986	0.5464358604
987	0.5464340605
988	0.5463993853
989	0.5463800926
990	0.5463800926
991	0.5463710693
992	0.5463710481
993	0.5463394232
994	0.5463394227
995	0.5463387377
996	0.5463333237
997	0.5463333236
998	0.5463233994
999	0.5463233994
1000	0.5463233993
1001	0.5463084941
1002	0.5462907038
1003	0.5462898272
1004	0.5462892162
1005	0.5462427017
1006	0.5462329906
1007	0.5462243001
1008	0.5462020715
1009	0.5461688605
1010	0.5461688553
1011	0.5461329848
1012	0.5461227617
1013	0.5461214936
1014	0.5461163289
1015	0.5460744281
1016	0.5460563897
1017	0.5460563888
1018	0.5460563881
1019	0.5460450696
1020	0.546001046
1021	0.5459786507
1022	0.5459777835
1023	0.5459773626
1024	0.5458998328
1025	0.5458543961
1026	0.5458536724
1027	0.5458528379
1028	0.5458273868
1029	0.5458272496
1030	0.5458270318
1031	0.5458263394
1032	0.5458089505
1033	0.5458089504
1034	0.5457894558
1035	0.545748065
1036	0.5457346243
1037	0.5457051599
1038	0.5456959036
1039	0.5456786481
1040	0.5456708781
1041	0.5456500508
1042	0.545647519
1043	0.5456105028
1044	0.5456103652
1045	0.54558522
1046	0.5455620692
